Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Academic Year
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries,,"Forney, Ellen",,Florida,Lake County Schools,Fall 2022,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,Florida,Martin County Schools,February 2023,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Okaloosa County Schools District,January 2023,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,Michigan,Chippewa Valley Schools,January 2023,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries,,"Forney, Ellen",,North Carolina,Pender County Schools,February 2023,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Pennsylvania,Penncrest School District,February 2023,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Pennsylvania,Pleasant Valley School District,July 2022,Informal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,Texas,Frisco Independent School District,September 2022,Informal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,Utah,Davis School District,December 2022,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries and Classrooms,,"Forney, Ellen",,Virginia,Madison County Public Schools,January 2023,Administration,2022-2023
"Alko, Selina",I is for Immigrants,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Allen, John",Hitler's Final Solution,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,2022-2023
"Allende, Isabel",The House of the Spirits,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Allende, Isabel",The House of the Spirits,Banned from Classrooms,,,,Florida,Lake County Schools,Fall 2022,Administration,2022-2023
"Aller, Susan Bivin",Anne Hutchinson,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,June 2023,Informal Challenge,2022-2023
"Allison, Anthony",Hear These Voices: Youth at the Edge of the Millennium,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Allison, John",Giant Days,Banned Pending Investigation,"Cogar, Whitney","Treiman, Lissa",,Missouri,Wentzville School District,September 2022,Legislative Action,2022-2023
"Allison, John",Giant Days: Not On the Test Edition Vol. 1 - Fall Semester,Banned Pending Investigation,,"Treiman, Lissa; Sarin, Max",,Missouri,Wentzville School District,September 2022,Legislative Action,2022-2023
"Allison, John",Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,Banned Pending Investigation,,"Treiman, Lissa; Sarin, Max; Fleming, Liz",,Missouri,Wentzville School District,September 2022,Legislative Action,2022-2023
"Alvarez, Julia",Before We Were Free,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,2022-2023
"Amery, Heather",The Usborne Book of Bible Stories,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,June 2023,Informal Challenge,2022-2023
Amir,Zahra's Paradise,Banned Pending Investigation,,Khalil,,Florida,Escambia County Public Schools,May 2023,Formal Challenge,2022-2023
Amir,Zahra's Paradise,Banned from Libraries and Classrooms,,Khalil,,Florida,Santa Rosa County District Schools,May 2023,Formal Challenge,2022-2023
Amir,Zahra's Paradise,Banned from Libraries,,Khalil,,Missouri,North Kansas City Schools,September 2022,Legislative Action,2022-2023
Amir,Zahra's Paradise,Banned from Libraries and Classrooms,,Khalil,,Missouri,Rockwood School District,August 2022,Legislative Action,2022-2023
Amir,Zahra's Paradise,Banned from Libraries,,Khalil,,Missouri,Webster Groves School District,September 2022,Legislative Action,2022-2023
"Ancona, George",Cuban Kids,Banned from Libraries,,,,Florida,Miami-Dade Public Schools,March 2023,Formal Challenge,2022-2023
"Anderson, Carol","One Person, No Vote (YA edition): How Not All Voters Are Treated Equally",Banned Pending Investigation,"Bolden, Tonya",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Carol",We Are Not Your Equal: Understanding Our Racial Divide,Banned Pending Investigation,"Bolden, Tonya",,,Florida,Clay County School District,September 2022,Formal Challenge,2022-2023
"Anderson, Carol",We Are Not Your Equal: Understanding Our Racial Divide,Banned from Libraries and Classrooms,"Bolden, Tonya",,,Florida,Volusia County Schools,June 2023,Administration,2022-2023
"Anderson, Jodi Lynn",The Secrets of Peaches,Banned from Libraries,,,,Texas,Frisco Independent School District,March 2023,Administration,2022-2023
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned from Libraries and Classrooms,,,,Florida,School District of Hamilton County,March 2023,Administration,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Idaho,Kuna School District,February 2023,Administration,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,North Carolina,Pender County Schools,February 2023,Administration,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Wyoming,Park County School District #1,February 2023,Administration,2022-2023
"Anderson, Laurie Halse",Speak: Chinese Edition,Banned from Libraries and Classrooms,,,Mu Ma Wen Hua (publisher),Florida,Martin County Schools,February 2023,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak: The Graphic Novel,Banned Pending Investigation,,"Carroll, Emily",,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak: The Graphic Novel,Banned from Libraries and Classrooms,,"Carroll, Emily",,Florida,Martin County Schools,February 2023,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak: The Graphic Novel,Banned Pending Investigation,,"Carroll, Emily",,Missouri,Wentzville School District,September 2022,Legislative Action,2022-2023
"Anderson, Laurie Halse",Speak: The Graphic Novel,Banned Pending Investigation,,"Carroll, Emily",,North Carolina,Pender County Schools,February 2023,Administration,2022-2023
"Anderson, Laurie Halse",Twisted,Banned Pending Investigation,,,,Florida,Clay County School District,September 2022,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Twisted,Banned from Libraries and Classrooms,,,,Florida,Santa Rosa County District Schools,May 2023,Formal Challenge,2022-2023
